text,clean_number
80.00,80.00
870.00,870.00
8120.00,8120.00
3100.00,3100.00
810o.00,8100.00
8120.00,8120.00
"7x tax included., 37.85",7
250.00,250.00
150.00,150.00
60.00,60.00
280.00,280.00
230.00,230.00
20.00,20.00
30.00,30.00
120.00,120.00
114.00,114.00
87.78,87.78
"81,341.78",81341.78
70.00,70.00
70.00,70.00
120.00,120.00
85.00,85.00
8345.00,8345.00
11o q0,110
55.00,55.00
855.00,855.00
1 1 5,11
0 0,00
d.,0.
155. 00,155.00
60 qd,60
95.00,95.00
3155.00,3155.00
398.00,398.00
50.00,50.00
40.00,40.00
20.00,20.00
35.56,35.56
8544.00,8544.00
()()()()(),0000000000
|/5 ()(),10500000
"7(),()()",700.0000
8() 0(),800000
150.0)0),150.0000
|50 0(),000
"1,525.",1525.
160.00,160.00
300.00,300.00
170.00,170.00
25.00,25.00
520.00,520.00
260.00,260.00
120.00,120.00
120.00,120.00
200.00,200.00
420.00,420.00
85.00,85.00
90.00,90.00
290.00,290.00
125.00,125.00
390.00,390.00
65.00,65.00
130.00,130.00
-65.00,65.00
339.68,339.68
253.38,253.38
"3,998.00",3998.00
"139,00",139.00
298.00,298.00
60.00,60.00
"20,00",20.00
25.85,25.85
3491.15,3491.15
75.00,75.00
160.00,160.00
235.00,235.00
15.37,15.37
125.00,125.00
 .qd,.00
20.00,20.00
152.00,152.00
9.94,9.94
3 7 8,37
oo,00
3d,30
2 0,20
0 o,0
428. 00,428.00
99.00,99.00
99.00,99.00
6.48,6.48
89.03,89.03
39.00,39.00
128.00,128.00
3.37,3.37
2d9.00,209.00
(),00
69.00,69.00
-40.00,40.00
 cash 4o0.00,400.00
24.01,24.01
"798,00",798.00
2อ1,21
เdoufa^a,1001000
a0.00,00.00
40.00,40.00
กุง-บฟเฟด์บาค,101
0.00,0.00
0.00,0.00
0.00,0.00
d.00,0.00
0.00,0.00
o.00,0.00
87.80,87.80
67.61,67.61
"1,033.41",1033.41
8d. qd,80.
8d. 00,80.00
-80.00,80.00
130.^0,130.00
120.09,120.09
6c.00,60.00
45.00,45.00
4o.00,40.00
15.00,15.00
1o.qd,10.00
29.40,29.40
450.00,450.00
169,169
169,169
 i.ai,1.01
25.00,25.00
20.00,20.00
25. 00,25.00
125.00,125.00
205.00,205.00
"15, 00",15.00
15. 00,15.00
l. 00,00
"18, 00",18.00
"57, 0d",57.00
"39,00",39.00
1. 00,1.00
176.25,176.25
95.00,95.00
0.00,0.00
15.00,15.00
95.00,95.00
o.00,0.00
15.00,15.00
20.00,20.00
11.00,11.00
179 บาท,179
8229.00,8229.00
"1,015.00",1015.00
101.50,101.50
"1,117.00",1117.00
169.00,169.00
"149,00",149.00
6o.00,60.00
656.00,656.00
42.92,42.92
240.00,240.00
0. 00,0.00
"225, 00",225.00
"465,00",465.00
"280, 00",280.00
d.o0,0.00
280.00,280.00
30.00,30.00
120.00,120.00
95.00,95.00
110.00,110.00
456.00,456.00
500.00,500.00
700.00,700.00
190.00,190.00
426.00,426.00
"1,775.00",1775.00
!!5,115
35.0,35.0
1d.0,10.0
59.00,59.00
39.00,39.00
428.00,428.00
125.00 ([),125.00
112.00,112.00
7.33,7.33
"180,00",180.00
o.00,0.00
o.0o,0.00
215.00,215.00
o.do,0.00
o.oo,0.00
..,.
33o,330
.o,.0
.o,.0
อ.,.
..,.
o.00,0.00
140.00,140.00
o.00,0.00
o.00,0.00
53.50,53.50
64.30,64.30
983.00,983.00
64.30,64.30
"i5,(0",15.00
iatal,1001
1อ.q0,1.00
เ32.วา,132.1
4a0.00,400.00
{-)135.00,0135.00
วaก.กd,00.00
"[-)144,00",0144.00
วาo.00,10.00
[-)150.00,0150.00
495.00,495.00
ขd0.กก,00.00
ii.qd,11.00
[-)10.00,010.00
ว.กา,.01
"1,978,00",1978.00
ร,
"169,00",169.00
99.00,99.00
"49,00",49.00
"356,00",356.00
23.29,23.29
85,85
"16,00-",
"175,00",175.00
25. 00,25.00
6. 00,6.00
tofa1:,0101
"105, 00",105.00
"600,00  540",600.00
-60.00+ !20 420,60.000
"440, 00",440.00
330. 00,330.00
"240, 00",240.00
"425, 00",425.00
600. 00,600.00
-60. 00,60.00
100. 00,100.00
100. 00,100.00
"2,715,00",2715.00
16o บาท,160
140 มาท,140
260 บาท,260
12o บาท,120
250 บาท,250
 loo บาท,10001
25 บาท,25
30,30
บาท,1
"4,085",4.085
